"Facity Name","id","Opening Date","Sector","Subdistrict","District","Province","District","Facility type","Ownership","LOCATION"
"ARBEF Muhima","1104","8/3/2009","Muhima","Muhima Sub District","Nyarugenge District","Kigali City","Nyarugenge District","Medical Clinic","Private","-1.93953 30.060089"
"ARBEF Musanze","1535","1/1/1900","Muhoza","Ruhengeri Sub District","Musanze District","North","Musanze District","Medical Clinic","Private",""
"ARBEF Rusizi","1537","1/1/1900","Kamembe","Gihundwe Sub District","Rusizi District","West","Rusizi District","Medical Clinic","Private",""
"ARBEF/Karongi Clinic","1314","1/1/1900","Rubengera","Kibuye Sub District","Karongi District","West","Karongi District","Medical Clinic","Private",""
"Arusha CS","206","1/1/2011","Bigogwe","Shyira Sub District","Nyabihu District","West","Nyabihu District","Health Center","Public","-1.6739 29.4122"
"Aurore (Kimisagara) DISP","1147","1/1/1970","Nyamirambo","Muhima Sub District","Nyarugenge District","Kigali City","Nyarugenge District","Dispensary","Private","-1.95322 30.052628"
"Aurore (Nyamirambo) DISP","1148","1/1/1970","Nyamirambo","Muhima Sub District","Nyarugenge District","Kigali City","Nyarugenge District","Dispensary","Private","-1.983652 30.050085"
"Avega Kigali CS","13","1/1/2011","Remera","Kibagabaga Sub District","Gasabo District","Kigali City","Gasabo District","Health Center","Agree","-1.9585 30.1068"
"Avega Rwamagana CS","547","1/1/2011","Muhazi","Rwamagana Sub District","Rwamagana District","East","Rwamagana District","Health Center","Agree","-1.9483 30.4417"
"Babyl Health Clin","1682","9/16/2016","Nyarugenge","Muhima Sub District","Nyarugenge District","Kigali City","Nyarugenge District","Medical Clinic","Private",""
"Baho International Hospital","1659","12/19/2015","Remera","Kibagabaga Sub District","Gasabo District","Kigali City","Gasabo District","Medical Clinic","Private",""
"BANDA HP","2001","1/1/2017","Rangiro","Kibogora Sub District","Nyamasheke District","West","Nyamasheke District","Health Post","Public","-2.44192 29.202191"
"Batima HP","1723","1/1/2017","Rweru","Nyamata Sub District","Bugesera District","East","Bugesera District","Health Post","Private","-2.305189 30.258341"
"Batsinda HP","1782","1/1/2017","Kinyinya","Kibagabaga Sub District","Gasabo District","Kigali City","Gasabo District","Health Post","Public","-1.901554 30.077011"
"Bazamuganga DISP","1479","1/1/1900","Rutare","Byumba Sub District","Gicumbi District","North","Gicumbi District","Dispensary","Private",""
"Beatrice Polyclinic","1684","12/1/2016","Rusororo","Kibagabaga Sub District","Gasabo District","Kigali City","Gasabo District","Medical Clinic","Private",""
"Benefactor David Clin","1394","1/1/1900","Nyamata","Nyamata Sub District","Bugesera District","East","Bugesera District","Medical Clinic","Private",""
"Beri Clin","1667","9/26/2016","Kimironko","Kibagabaga Sub District","Gasabo District","Kigali City","Gasabo District","Dispensary","Private",""
"Beri Clin","1667","9/26/2016","Kimironko","Kibagabaga Sub District","Gasabo District","Kigali City","Gasabo District","Medical Clinic","Private",""
"Bethesda (Kinyinya) Disp","1566","1/9/2015","Kinyinya","Kibagabaga Sub District","Gasabo District","Kigali City","Gasabo District","Dispensary","Private",""
"Bethsaida  CS","29","1/1/2011","Kicukiro","Masaka Sub District","Kicukiro District","Kigali City","Kicukiro District","Health Center","Agree","-1.97675 30.11447"
"BICACA HP","2133","1/1/2017","Karenge","Rwamagana Sub District","Rwamagana District","East","Rwamagana District","Health Post","Public","-2.070411 30.344806"
"Bien Naitre CLIN","1121","8/4/2009","Muhima","Muhima Sub District","Nyarugenge District","Kigali City","Nyarugenge District","Medical Clinic","Private","-1.941102 30.061645"
"Bigogwe CS","207","1/1/2011","Bigogwe","Shyira Sub District","Nyabihu District","West","Nyabihu District","Health Center","Agree","-1.6244 29.4237"
"Bigugu CS","1662","4/15/2013","Rwankuba","Kibuye Sub District","Karongi District","West","Karongi District","Health Center","Public","-2.1789703 29.3714909"
"Biguhu CS","154","1/1/2011","Ruganda","Kirinda Sub District","Karongi District","West","Karongi District","Health Center","Agree","-2.2228 29.4892"
"Biharagu HP","1700","1/1/2017","Kamabuye","Nyamata Sub District","Bugesera District","East","Bugesera District","Health Post","Private","-2.417874 30.140252"
"Biolab","1106","8/2/2010","Nyarugenge","Muhima Sub District","Nyarugenge District","Kigali City","Nyarugenge District","Laboratory/Diagnostic Center","Private","-1.947816 30.058095"
"Birambo CS","155","1/1/2011","Gashari","Kirinda Sub District","Karongi District","West","Karongi District","Health Center","Agree","-2.1447 29.5221"
"Birambo Poste secondaire","1880","1/1/2017","Gashari","Kirinda Sub District","Karongi District","West","Karongi District","Health Post level 2","Public","-2.144593 29.525822"
"Birehe HP","1921","1/1/2017","Rongi","Kabgayi Sub District","Muhanga District","South","Muhanga District","Health Post","Public","-1.76785 29.745486"
"Birembo CS","208","1/1/2011","Rambura","Shyira Sub District","Nyabihu District","West","Nyabihu District","Health Center","Public","-1.6917 29.5251"
"Biruyi CS","177","1/1/2011","Mushonyi","Murunda Sub District","Rutsiro District","West","Rutsiro District","Health Center","Agree","-1.851 29.3164"
"Birwa HP","1727","1/1/2017","Kinoni","Butaro Sub District","Burera District","North","Burera District","Health Post","Public","-1.470626 29.76888"
"Biryogo CS","1","1/1/2011","Nyarugenge","Muhima Sub District","Nyarugenge District","Kigali City","Nyarugenge District","Health Center","Agree","-1.9669 30.06"
"Bisate CS","308","1/1/2011","Kinigi","Ruhengeri Sub District","Musanze District","North","Musanze District","Health Center","Public","-1.4558 29.5252"
"Bisesero (karongi) CS","617","1/1/2011","Rwankuba","Kibuye Sub District","Karongi District","West","Karongi District","Health Center","Public","-2.17762 29.33593"
"BITARE HP","2054","1/1/2017","Ngera","Munini Sub District","Nyaruguru District","South","Nyaruguru District","Health Post","Public","-2.671184 29.664784"
"Bitare HP","1858","1/1/2017","Karama (Huye)","Kabutare Sub District","Huye District","South","Huye District","Health Post","Agree","-1.959206 29.862205"
"Bitenga  CS","178","1/1/2011","Ruhango (Rutsiro  District)","Murunda Sub District","Rutsiro District","West","Rutsiro District","Health Center","Public","-1.84773 29.40947"
"Blessed F H Ltd CLIN","1372","1/1/1900","Ruhango","Ruhango Sub District","Ruhango District","South","Ruhango District","Medical Clinic","Private",""
"BMC","1107","8/1/2012","Muhima","Muhima Sub District","Nyarugenge District","Kigali City","Nyarugenge District","Medical Clinic","Private","-1.940877 30.059654"
"Bon Samaritain Disp","1564","1/9/2015","Kinazi (Ruhango  District)","Ruhango Sub District","Ruhango District","South","Ruhango District","Dispensary","Private",""
"BRALIRWA DISP","1304","1/1/1900","Kicukiro","Masaka Sub District","Kicukiro District","Kigali City","Kicukiro District","Dispensary","Private","-1.970304 30.093986"
"Bubangu CS","1426","1/1/1900","MURAMBI","Rutongo Sub District","Rulindo District","North","Rulindo District","Health Center","Public",""
"BUBARE HP","1978","1/1/2017","RWEMPASHA","Nyagatare Sub District","Nyagatare District","East","Nyagatare District","Health Post","Public","-1.162845 30.30801"
"Bubazi CS","156","1/1/2011","Rubengera","Kibuye Sub District","Karongi District","West","Karongi District","Health Center","Agree","-2.0727 29.4323"
"Budende HP","1922","1/1/2017","Kiyumba","Kabgayi Sub District","Muhanga District","South","Muhanga District","Health Post","Public","-1.872369 29.801984"
"Bugambira PS","1480","1/1/1900","Ruramira","Rwinkwavu Sub District","Kayonza District","East","Kayonza District","Health Post","Public",""
"Bugaragara CS","366","1/1/2011","RWIMIYAGA","Nyagatare Sub District","Nyagatare District","East","Nyagatare District","Health Center","Public","-1.2907 30.4123"
"Bugarama (Rugarama) PS","1609","1/1/1970","Rugarama (Gatsibo District)","Kiziguro Sub District","Gatsibo District","East","Gatsibo District","Health Post","Private",""
"Bugarama (rusizi) CS","237","1/1/2011","Muganza (Rusizi District)","Mibilizi Sub District","Rusizi District","West","Rusizi District","Health Center","Agree","-2.643 29.0113"
"Bugarama PS","495","1/1/2011","Kibirizi (Nyamagabe District)","Kigeme Sub District","Nyamagabe District","South","Nyamagabe District","Health Post","Agree","-2.453537 29.490044"
"Bugarura CS","386","1/1/2011","Remera (Gatsibo District)","Kiziguro Sub District","Gatsibo District","East","Gatsibo District","Health Center","Public","-1.7333 30.3378"
"BUGARURA HP","2123","1/1/2017","Boneza","Murunda Sub District","Rutsiro District","West","Rutsiro District","Health Post","Public","-1.91751 29.26688"
"Bugesera DP","1095","1/1/1900","Nyamata","Nyamata Sub District","Bugesera District","East","Bugesera District","District Pharmacy","Public","-2.147195 30.091283"
"Bugesera Youth Friendly Center","1572","1/30/2015","Nyamata","Nyamata Sub District","Bugesera District","East","Bugesera District","VCT center","Private",""
"Bugeshi CS","1232","1/1/2011","Bugeshi","Gisenyi Sub District","Rubavu District","West","Rubavu District","Health Center","Public","-1.537731 29.367626"
"Bugoba HP","1859","1/1/2017","Rukoma","Remera Rukoma Sub District","Kamonyi District","South","Kamonyi District","Health Post","Agree","-1.90572 29.921503"
"Buhabwa CS","496","1/1/2011","Murundi (Kayonza District)","Gahini Sub District","Kayonza District","East","Kayonza District","Health Center","Public","-1.7053 30.5461"
"Buheta HP","1766","1/1/2017","Gakenke","Nemba Sub District","Gakenke District","North","Gakenke District","Health Post","Public","-1.669215 29.806"
"BUHOKO HP","2124","1/1/2017","Kivumu","Murunda Sub District","Rutsiro District","West","Rutsiro District","Health Post","Public","-1.792129 29.282945"
"BUHORO HP","1989","1/1/2017","Tare","Kigeme Sub District","Nyamagabe District","South","Nyamagabe District","Health Post","Public","-2.524273 29.518392"
"BUKANDA HP","2125","1/1/2017","Nyabirasi","Murunda Sub District","Rutsiro District","West","Rutsiro District","Health Post","Public","-1.753808 29.370764"
"Bukomeye (mukura) Fosacom","614","1/1/2011","Mukura","Kabutare Sub District","Huye District","South","Huye District","Community-owned health facility","Public",""
"Bukomeye (mukura) Fosacom","614","1/1/2011","Mukura","Kabutare Sub District","Huye District","South","Huye District","Community-owned health facility","Community",""
"Bukora CS","419","1/1/2011","Nyamugari","Kirehe Sub District","Kirehe District","East","Kirehe District","Health Center","Public","-2.3088 30.7865"
"Bumba Poste secondaire","1767","1/1/2017","Muyongwe","Ruli Sub District","Gakenke District","North","Gakenke District","Health Post level 2","Public","-1.77121 29.89321"
"Bumbogo (ex-Gikomero I) CS","552","1/1/2011","Bumbogo","Kibagabaga Sub District","Gasabo District","Kigali City","Gasabo District","Health Center","Public","-1.887092 30.2187"
"Bumbogo PS","1599","1/1/1970","Bumbogo","Kibagabaga Sub District","Gasabo District","Kigali City","Gasabo District","Health Post","",""
"Bungwe (burera) CS","320","1/1/2011","Bungwe","Butaro Sub District","Burera District","North","Burera District","Health Center","Agree","-1.503061 29.973001"
"Bungwe (ngororero) Fosacom","629","1/1/2011","BWIRA","Muhororo Sub District","Ngororero District","West","Ngororero District","Community-owned health facility","Community",""
"Bungwe Poste secondaire","1728","1/1/2017","Bungwe","Butaro Sub District","Burera District","North","Burera District","Health Post level 2","Public","-1.50316 29.97285"
"BUNYOGOMBE HP","2083","1/1/2017","Ruhango","Ruhango Sub District","Ruhango District","South","Ruhango District","Health Post","Public","-2.203534 29.764593"
"Bunyonga HP","1860","1/1/2017","Karama (Huye)","Kabutare Sub District","Huye District","South","Huye District","Health Post","Agree","-1.963819 29.842455"
"Buramba CS","128","1/1/2011","Kabacuzi","Kabgayi Sub District","Muhanga District","South","Muhanga District","Health Center","Public","-1.966 29.7162"
"Burega CS","1425","1/1/1900","BUREGA","Rutongo Sub District","Rulindo District","North","Rulindo District","Health Center","Public",""
"Burenge HP","1701","1/1/2017","Kamabuye","Nyamata Sub District","Bugesera District","East","Bugesera District","Health Post","Private","-2.406889 30.118064"
"Burera DP","1071","1/1/2011","Bungwe","Butaro Sub District","Burera District","North","Burera District","District Pharmacy","Public","-1.492633 29.836185"
"BURINGO HP","2071","1/1/2017","Bugeshi","Gisenyi Sub District","Rubavu District","West","Rubavu District","Health Post","Agree","-1.529154 29.387474"
"Buruhukiro CS","1343","7/1/2013","Buruhukiro","Kaduha Sub District","Nyamagabe District","South","Nyamagabe District","Health Center","Public","-2.45087 29.36197"
"Busanza CS","30","1/1/2011","Kanombe","Masaka Sub District","Kicukiro District","Kigali City","Kicukiro District","Health Center","Public","-1.9801 30.1496"
"Busasamana CS","195","1/1/2011","Busasamana (Rubavu District)","Gisenyi Sub District","Rubavu District","West","Rubavu District","Health Center","Public","-1.604 29.3449"
"Busengo CS","287","1/1/2011","Busengo","Nemba Sub District","Gakenke District","North","Gakenke District","Health Center","Public","-1.6246 29.7012"
"Bushara CS","333","1/1/2011","Shangasha","Byumba Sub District","Gicumbi District","North","Gicumbi District","Health Center","Agree","-1.52796 30.08121"
"Bushenge CS","252","1/1/2011","Bushenge","Bushenge Sub District","Nyamasheke District","West","Nyamasheke District","Health Center","Public","-2.449 28.9855"
"Bushenge PH","253","1/1/2011","Bushenge","Bushenge Sub District","Nyamasheke District","West","Nyamasheke District","Provincial Hospital","Public","-2.4451 28.9858"
"Bushenya HP","1729","1/1/2017","Bungwe","Butaro Sub District","Burera District","North","Burera District","Health Post","Private","-1.476176 29.968402"
"Bushoka CS","288","1/1/2011","Kivuruga","Nemba Sub District","Gakenke District","North","Gakenke District","Health Center","Public","-1.5967 29.7361"
"Busigari CS","1656","3/3/2016","Cyanzarwe","Gisenyi Sub District","Rubavu District","West","Rubavu District","Health Center","",""
"Busogo CS","309","1/1/2011","Busogo","Ruhengeri Sub District","Musanze District","North","Musanze District","Health Center","Agree","-1.5544 29.5402"
"Busogo Poste secondaire","1645","7/16/2015","Gataraga","Ruhengeri Sub District","Musanze District","North","Musanze District","Health Post level 2","",""
"Busoro CS","37","1/1/2011","Busoro","Nyanza Sub District","Nyanza District","South","Nyanza District","Health Center","Agree","-2.2896 29.9305"
"Busoro HP","1861","1/1/2017","Kayumbu","Remera Rukoma Sub District","Kamonyi District","South","Kamonyi District","Health Post","Public","-1.989316 29.819402"
"Busoro-gishamvu CS","81","1/1/2011","Gishamvu","Kabutare Sub District","Huye District","South","Huye District","Health Center","Public","-2.6654 29.693"
"Butamwa CS","2","1/1/2011","Mageragere","Muhima Sub District","Nyarugenge District","Kigali City","Nyarugenge District","Health Center","Public","-2.0255 30.0237"
"BUTANSINDA HP","2029","1/1/2017","Kigoma","Nyanza Sub District","Nyanza District","South","Nyanza District","Health Post","Public","-2.283828 29.779893"
"BUTARA HP","2030","1/1/2017","Kigoma","Nyanza Sub District","Nyanza District","South","Nyanza District","Health Post","Agree","-2.320084 29.80092"
"Butare Chu Hnr (huye)","82","1/1/2011","Ngoma (Huye District)","Kabutare Sub District","Huye District","South","Huye District","Referral Hospital","Public","-2.612 29.7352"
"Butare HP","1768","1/1/2017","Muzo","Nemba Sub District","Gakenke District","North","Gakenke District","Health Post","Public","-1.708998 29.719014"
"Butaro CS","321","1/1/2011","Butaro","Butaro Sub District","Burera District","North","Burera District","Health Center","Agree","-1.4089 29.8364"
"Butaro DH","322","1/1/2011","Butaro","Butaro Sub District","Burera District","North","Burera District","District Hospital","Public","-1.4089 29.8366"
"Butaro Poste secondaire","1730","1/1/2017","Butaro","Butaro Sub District","Burera District","North","Burera District","Health Post level 2","Public","-1.40841 29.83804"
"BUTETERI HP","1990","1/1/2017","Mushubi","Kaduha Sub District","Nyamagabe District","South","Nyamagabe District","Health Post","Public","-2.289147 29.44905"
"Buyoga CS","271","1/1/2011","BUYOGA","Kinihira Sub District","Rulindo District","North","Rulindo District","Health Center","Public","-1.6941 30.0127"
"Bweramvura HP","1783","1/1/2017","Jabana","Kibagabaga Sub District","Gasabo District","Kigali City","Gasabo District","Health Post","Public","-1.866296 30.04454"
"Bweyeye CS","238","1/1/2011","Bweyeye","Gihundwe Sub District","Rusizi District","West","Rusizi District","Health Center","Agree","-2.6179 29.214"
"Bwisige CS","334","1/1/2011","Bwisige","Byumba Sub District","Gicumbi District","North","Gicumbi District","Health Center","Public","-1.57958 30.15427"
"Bwiza Poste secondaire","1832","1/1/2017","Kansi","Kibilizi Sub District","Gisagara District","South","Gisagara District","Health Post level 2","Public","-2.680334 29.775527"
"Byahi (rubavu) CS","196","1/1/2011","Rubavu","Gisenyi Sub District","Rubavu District","West","Rubavu District","Health Center","Public","-1.6631 29.26464"
"Byimana CS","113","1/1/2011","Byimana","Gitwe Sub District","Ruhango District","South","Ruhango District","Health Center","Public","-2.156 29.7434"
"Byumba CS","335","1/1/2011","Byumba","Byumba Sub District","Gicumbi District","North","Gicumbi District","Health Center","Public","-1.5887 30.0558"
"Byumba DH","336","1/1/2011","Byumba","Byumba Sub District","Gicumbi District","North","Gicumbi District","District Hospital","Public","-1.5893 30.0551"
"Byumba School of Nursing & Mid","1349","1/1/2005","Byumba","Byumba Sub District","Gicumbi District","North","Gicumbi District","Nursing School","Public",""
"Cabinet dentaire","1469","1/1/2014","Nyarugenge","Muhima Sub District","Nyarugenge District","Kigali City","Nyarugenge District","Medical Clinic","Private",""
"Cabinet Medical Soins pour tou","1109","4/1/2011","Nyarugenge","Muhima Sub District","Nyarugenge District","Kigali City","Nyarugenge District","Medical Clinic","Private","-1.949225 30.059137"
"Cabinet M�d Pediatrie","1108","1/1/1900","Muhima","Muhima Sub District","Nyarugenge District","Kigali City","Nyarugenge District","Medical Clinic","Private","-1.947141 30.058711"
"CAMERWA DEPOT","1235","1/1/1900","Kacyiru","Kibagabaga Sub District","Gasabo District","Kigali City","Gasabo District","Pharmaceutical Warehouse","","-1.934014 30.076787"
"Camp Gihembe CS","461","1/1/2011","Kageyo","Byumba Sub District","Gicumbi District","North","Gicumbi District","Health Center","Public","-1.59843 30.07587"
"Camp Nyabiheke CS","463","1/1/2011","Gatsibo","Ngarama Sub District","Gatsibo District","East","Gatsibo District","Health Center","Public","-1.595413 30.25981"
"Caraes Ndera Hnr","14","1/1/2011","Ndera","Kibagabaga Sub District","Gasabo District","Kigali City","Gasabo District","Referral Hospital","Agree","-1.9547 30.169"
"Care DISP","1374","1/1/1900","KARANGAZI","Nyagatare Sub District","Nyagatare District","East","Nyagatare District","Dispensary","Private",""
"Carrefour CLIN","657","1/1/2011","Kicukiro","Masaka Sub District","Kicukiro District","Kigali City","Kicukiro District","Medical Clinic","Private","-1.967473 30.088474"
"Centre Cult Islamique DISP","1149","1/1/1990","Nyamirambo","Muhima Sub District","Nyarugenge District","Kigali City","Nyarugenge District","Dispensary","Private","-1.978675 30.046862"
"Centre Dushishoze (AGR) VCT","1286","1/1/1900","Nyarugenge","Muhima Sub District","Nyarugenge District","Kigali City","Nyarugenge District","VCT center","Private","-1.976881 30.080186"
"Centre Dushishoze (Bugesera) V","1330","1/1/1900","Nyamata","Nyamata Sub District","Bugesera District","East","Bugesera District","VCT center","Private",""
"Centre Dushishoze (Centre de T","1287","1/1/1900","Gikondo","Masaka Sub District","Kicukiro District","Kigali City","Kicukiro District","VCT center","Private","-1.971295 30.081488"
"Centre Dushishoze (Gasabo) VCT","1284","1/1/1900","Rusororo","Kibagabaga Sub District","Gasabo District","Kigali City","Gasabo District","VCT center","Private",""
"Centre Dushishoze (Huye) VCT","1291","1/1/1900","Ngoma (Huye District)","Kabutare Sub District","Huye District","South","Huye District","VCT center","Private","-2.60982 29.736267"
"Centre Dushishoze (Mobile VCT)","1288","1/1/1900","Rusororo","Kibagabaga Sub District","Gasabo District","Kigali City","Gasabo District","VCT center","Private",""
"Centre Dushishoze (Musanze) VC","1283","1/1/1900","Muhoza","Ruhengeri Sub District","Musanze District","North","Musanze District","VCT center","Private","-1.490835 29.651461"
"Centre Dushishoze (Ngoma) VCT","1289","1/1/1900","Kibungo","Kibungo Sub District","Ngoma District","East","Ngoma District","VCT center","Private","-2.1397 30.55351"
"Centre Dushishoze (Rutsiro) VC","1290","1/1/1900","Murunda","Murunda Sub District","Rutsiro District","West","Rutsiro District","VCT center","Private","-1.884611 29.350693"
"Centre M�dical BAHO","1110","8/1/2010","Nyarugenge","Muhima Sub District","Nyarugenge District","Kigali City","Nyarugenge District","Medical Clinic","Private","-1.954964 30.060728"
"Centre M�dical BNR","1111","8/1/2012","Nyarugenge","Muhima Sub District","Nyarugenge District","Kigali City","Nyarugenge District","Medical Clinic","Private","-1.951412 30.066569"
"Centre M�dical Chinois","1112","1/1/1970","Rwezamenyo","Muhima Sub District","Nyarugenge District","Kigali City","Nyarugenge District","Medical Clinic","Private","-1.946335 30.058617"
"Centre M�dical Orkide","1113","8/1/2012","Remera","Kibagabaga Sub District","Gasabo District","Kigali City","Gasabo District","Medical Clinic","Private","-1.959187 30.108804"
"Centre M�dical SOS","1114","8/1/2012","Kacyiru","Kibagabaga Sub District","Gasabo District","Kigali City","Gasabo District","Medical Clinic","Private","-1.936278 30.093101"
"Charite (Rubavu) DISP","1482","1899-12-31","Rugerero","Gisenyi Sub District","Rubavu District","West","Rubavu District","Dispensary","Private",""
"Charite (Rukomo) DISP","1483","1/1/1900","RUKOMO","Nyagatare Sub District","Nyagatare District","East","Nyagatare District","Dispensary","Private",""
"Chinoise CLIN","1117","8/3/2010","Nyarugenge","Muhima Sub District","Nyarugenge District","Kigali City","Nyarugenge District","Medical Clinic","Private","-1.968505 30.057833"
"CHK(CHUK) HNR","3","1/1/2011","Nyarugenge","Muhima Sub District","Nyarugenge District","Kigali City","Nyarugenge District","Referral Hospital","Public","-1.9565 30.0604"
"CIMERWA Disp","239","1/1/1900","Bugarama","Mibilizi Sub District","Rusizi District","West","Rusizi District","Dispensary","Private","-1.971919 30.075275"
"Clinic Imagerie","1473","1/1/1900","Kimisagara","Muhima Sub District","Nyarugenge District","Kigali City","Nyarugenge District","Medical Clinic","Private",""
"Clinique Dentaire St Joseph","1639","7/27/2011","Rusororo","Kibagabaga Sub District","Gasabo District","Kigali City","Gasabo District","Medical Clinic","Private",""
"Clinique Ewsa CLIN","1485","1/1/1900","Nyarugenge","Muhima Sub District","Nyarugenge District","Kigali City","Nyarugenge District","Medical Clinic","Private",""
"Clinique Medicale Prive CLIN","656","1/1/1900","Nyarugenge","Muhima Sub District","Nyarugenge District","Kigali City","Nyarugenge District","Medical Clinic","Private","-1.944792 30.064672"
"Club Rafiki youth friendly cen","1285","1/1/1900","Rwezamenyo","Muhima Sub District","Nyarugenge District","Kigali City","Nyarugenge District","VCT center","Private","-1.971747 30.05589"
"Cmedicosocial DISP","465","1/1/2011","Kimisagara","Muhima Sub District","Nyarugenge District","Kigali City","Nyarugenge District","Dispensary","Private",""
"Coko (ruli) CS","289","1/1/2011","Coko","Ruli Sub District","Gakenke District","North","Gakenke District","Health Center","Public","-1.7647 29.8226"
"Coko CS","67","1/1/2011","Cyahinda","Munini Sub District","Nyaruguru District","South","Nyaruguru District","Health Center","Public","-2.7161 29.5802"
"Consolari DISP","1188","1/1/1970","Kanombe","Masaka Sub District","Kicukiro District","Kigali City","Kicukiro District","Dispensary","Private","-1.982071 30.13269"
"Cor-unum CS","4","1/1/2011","Kimisagara","Muhima Sub District","Nyarugenge District","Kigali City","Nyarugenge District","Health Center","Agree","-1.9454 30.0483"
"Crete Congo Nil CS","179","1/1/2011","Gihango","Murunda Sub District","Rutsiro District","West","Rutsiro District","Health Center","Agree","-1.964 29.386"
"Cubi HP","1862","1/1/2017","Kayenzi","Remera Rukoma Sub District","Kamonyi District","South","Kamonyi District","Health Post","Agree","-1.866831 29.820325"
"Cumi nikenda (Manyagiro) PS","1611","10/1/2013","Manyagiro","Byumba Sub District","Gicumbi District","North","Gicumbi District","Health Post","",""
"CUSP Butare CS","83","1/1/2011","Ngoma (Huye District)","Kabutare Sub District","Huye District","South","Huye District","Health Center","Agree","-2.6082 29.7405"
"Cyabararika HP","1941","1/1/2017","Muhoza","Ruhengeri Sub District","Musanze District","North","Musanze District","Health Post","Agree","-1.504394 29.661331"
"Cyabayaga CS","367","1/1/2011","NYAGATARE","Nyagatare Sub District","Nyagatare District","East","Nyagatare District","Health Center","Public","-1.395 30.2951"
