name,id,long_name,contact_person,phone_number,alt_phone_number,catchment_population,point_x,point_y,parent_location_id,parent_location_name,location_type_name,location_ownership_name,infrastructure_ids,infrastructure_names,service_ids,service_names,facility_type
Masokotwane Clinic,10119,,,,,1962,-17.797,24.20354,10598,Katima Mulilo District,Facility,Public_MoHSS,"4,5,6,7,9,11,13,16,17","Mortuary,Electricity,Running Water,Health Extension Workers,Toilets,Phone Number,Computers,Enrolled Nurses,Registered Nurses","1,2,3,8,31,32,36,38,39,41,52,53","HIV Testing Services,General Clinical Service,Expanded Programme on Immunizations,Preventing Mother To Child Transmission Services,Viral Load Testing,Sexual Transmitted Infections,Anti Retroviral Therapy IMAI Site,Ante Natal Clinic Services,Family Planning Services,Tuberculosis Services,Option B+,DNA EID Testing",Clinic
Mafuta Clinic,10132,,,,,2717,-17.5449,24.318087,10598,Katima Mulilo District,Facility,Public_MoHSS,"5,6,7,11,16","Electricity,Running Water,Health Extension Workers,Phone Number,Enrolled Nurses","1,2,3,8,31,32,36,38,39,41,52,53","HIV Testing Services,General Clinical Service,Expanded Programme on Immunizations,Preventing Mother To Child Transmission Services,Viral Load Testing,Sexual Transmitted Infections,Anti Retroviral Therapy IMAI Site,Ante Natal Clinic Services,Family Planning Services,Tuberculosis Services,Option B+,DNA EID Testing",Clinic
Lusese Clinic,10118,,,,,1593,-17.7638,24.694715,10598,Katima Mulilo District,Facility,Public_MoHSS,"5,6,7,11,16","Electricity,Running Water,Health Extension Workers,Phone Number,Enrolled Nurses","1,2,3,8,31,32,36,38,39,41,52,53","HIV Testing Services,General Clinical Service,Expanded Programme on Immunizations,Preventing Mother To Child Transmission Services,Viral Load Testing,Sexual Transmitted Infections,Anti Retroviral Therapy IMAI Site,Ante Natal Clinic Services,Family Planning Services,Tuberculosis Services,Option B+,DNA EID Testing",Clinic
Lisikili Clinic,10117,,,,,2114,-17.5522,24.44369,10598,Katima Mulilo District,Facility,Public_MoHSS,"5,6,7,9,11,13,16,17","Electricity,Running Water,Health Extension Workers,Toilets,Phone Number,Computers,Enrolled Nurses,Registered Nurses","1,2,3,8,31,32,36,38,39,41,52,53","HIV Testing Services,General Clinical Service,Expanded Programme on Immunizations,Preventing Mother To Child Transmission Services,Viral Load Testing,Sexual Transmitted Infections,Anti Retroviral Therapy IMAI Site,Ante Natal Clinic Services,Family Planning Services,Tuberculosis Services,Option B+,DNA EID Testing",Clinic
Linyanti Clinic,10116,,,,,4513,-18.0756,24.02303,10598,Katima Mulilo District,Facility,Public_MoHSS,"5,6,7,11,16,17","Electricity,Running Water,Health Extension Workers,Phone Number,Enrolled Nurses,Registered Nurses","1,2,3,8,31,32,36,38,39,41,52,53","HIV Testing Services,General Clinical Service,Expanded Programme on Immunizations,Preventing Mother To Child Transmission Services,Viral Load Testing,Sexual Transmitted Infections,Anti Retroviral Therapy IMAI Site,Ante Natal Clinic Services,Family Planning Services,Tuberculosis Services,Option B+,DNA EID Testing",Clinic
Katima Mulilo WBCG Clinic,10548,,,,,,0,0,10598,Katima Mulilo District,Facility,NGO,,,,,Clinic
Katima Mulilo NRCS,12174,Katima Mulilo NRCS,,0,,0,0,0,10598,Katima Mulilo District,Facility,Faith Based Organisation,,,,,0
Katima Mulilo NAPPA Clinic,10123,,,,,,-17.502,24.277,10598,Katima Mulilo District,Facility,NGO,"5,6,9,10,13,14,16,17,18,20","Electricity,Running Water,Toilets,Internet,Computers,Vehicles,Enrolled Nurses,Registered Nurses,Health Assistants,Administrative Officers","1,2,4,32,37,38,39,41","HIV Testing Services,General Clinical Service,Anti Retroviral Therapy Main Site,Sexual Transmitted Infections,Laboratory Services,Ante Natal Clinic Services,Family Planning Services,Tuberculosis Services",Clinic
Katima Mulilo District Hospital,10114,,,,,,-17.4994,24.27878,10598,Katima Mulilo District,Facility,Public_MoHSS,"1,2,4,5,6,8,10,11,14,16,17,19","Ambulances,Beds,Mortuary,Electricity,Running Water,Back Up Generator,Internet,Phone Number,Vehicles,Enrolled Nurses,Registered Nurses,Doctors","4,1,2,3,8,33,37,39,48,52,53","Anti Retroviral Therapy Main Site,HIV Testing Services,General Clinical Service,Expanded Programme on Immunizations,Preventing Mother To Child Transmission Services,General Dentistry,Laboratory Services,Family Planning Services,Physiotherapy,Option B+,DNA EID Testing",Hospital
Katima Mulilo District Health Office,12003,,,,,,-17.4994,24.27878,10598,Katima Mulilo District,Facility,Public_MoHSS,,,,,District Health Office
Katima Mulilo Clinic,10115,,,,,,-17.501,24.280575,10598,Katima Mulilo District,Facility,Public_MoHSS,"5,6,9,11,13,16,17,20","Electricity,Running Water,Toilets,Phone Number,Computers,Enrolled Nurses,Registered Nurses,Administrative Officers","1,2,3,8,31,32,36,38,39,41,52,53","HIV Testing Services,General Clinical Service,Expanded Programme on Immunizations,Preventing Mother To Child Transmission Services,Viral Load Testing,Sexual Transmitted Infections,Anti Retroviral Therapy IMAI Site,Ante Natal Clinic Services,Family Planning Services,Tuberculosis Services,Option B+,DNA EID Testing",Clinic
Katima Medical Centre,10632,,,,,,0,0,10598,Katima Mulilo District,Facility,Private,,,,,0
Katima Family Practice,10627,,,,,,0,0,10598,Katima Mulilo District,Facility,Private,,,,,0
Kasheshe Clinic,10113,,,,,2570,-17.664,24.13575,10598,Katima Mulilo District,Facility,Public_MoHSS,"5,6,7,9,11,16,17","Electricity,Running Water,Health Extension Workers,Toilets,Phone Number,Enrolled Nurses,Registered Nurses","1,2,3,8,31,32,36,38,39,41,52,53","HIV Testing Services,General Clinical Service,Expanded Programme on Immunizations,Preventing Mother To Child Transmission Services,Viral Load Testing,Sexual Transmitted Infections,Anti Retroviral Therapy IMAI Site,Ante Natal Clinic Services,Family Planning Services,Tuberculosis Services,Option B+,DNA EID Testing",Clinic
Kanono Clinic,10112,,,,,1548,-17.9408,24.14597,10598,Katima Mulilo District,Facility,Public_MoHSS,"4,5,6,7,9,11,16,17","Mortuary,Electricity,Running Water,Health Extension Workers,Toilets,Phone Number,Enrolled Nurses,Registered Nurses","1,3,8,31,32,36,38,39,41,52,53","HIV Testing Services,Expanded Programme on Immunizations,Preventing Mother To Child Transmission Services,Viral Load Testing,Sexual Transmitted Infections,Anti Retroviral Therapy IMAI Site,Ante Natal Clinic Services,Family Planning Services,Tuberculosis Services,Option B+,DNA EID Testing",Clinic
Kaenda Clinic,12246,,,,,,,,10598,Katima Mulilo District,Facility,Public_MoHSS,,,"1,2,3,8,32,33,38,39,41,43,49,50,52","HIV Testing Services,General Clinical Service,Expanded Programme on Immunizations,Preventing Mother To Child Transmission Services,Sexual Transmitted Infections,General Dentistry,Ante Natal Clinic Services,Family Planning Services,Tuberculosis Services,Occupational Therapy,Psychiatric Services,Ophthamology & Eye Surgery,Option B+",Clinic
Kabbe Clinic,10111,,,,,1117,-17.7181,24.632083,10598,Katima Mulilo District,Facility,Public_MoHSS,"4,5,6,7,9,11,16,17","Mortuary,Electricity,Running Water,Health Extension Workers,Toilets,Phone Number,Enrolled Nurses,Registered Nurses","1,2,3,8,31,32,36,38,39,52,53","HIV Testing Services,General Clinical Service,Expanded Programme on Immunizations,Preventing Mother To Child Transmission Services,Viral Load Testing,Sexual Transmitted Infections,Anti Retroviral Therapy IMAI Site,Ante Natal Clinic Services,Family Planning Services,Option B+,DNA EID Testing",Clinic
Itomba Clinic,10110,,,,,4977,-17.6905,24.90067,10598,Katima Mulilo District,Facility,Public_MoHSS,"6,7,8,16","Running Water,Health Extension Workers,Back Up Generator,Enrolled Nurses","1,2,3,8,31,32,36,38,39,41,52,53","HIV Testing Services,General Clinical Service,Expanded Programme on Immunizations,Preventing Mother To Child Transmission Services,Viral Load Testing,Sexual Transmitted Infections,Anti Retroviral Therapy IMAI Site,Ante Natal Clinic Services,Family Planning Services,Tuberculosis Services,Option B+,DNA EID Testing",Clinic
Isize Clinic,10109,,,,,3144,-17.5684,24.54387,10598,Katima Mulilo District,Facility,Public_MoHSS,"5,6,7,9,11,13,14,16,17","Electricity,Running Water,Health Extension Workers,Toilets,Phone Number,Computers,Vehicles,Enrolled Nurses,Registered Nurses","1,2,3,8,31,32,38,39,40,41,52,53","HIV Testing Services,General Clinical Service,Expanded Programme on Immunizations,Preventing Mother To Child Transmission Services,Viral Load Testing,Sexual Transmitted Infections,Ante Natal Clinic Services,Family Planning Services,Anti Retroviral Therapy Outreach Site,Tuberculosis Services,Option B+,DNA EID Testing",Clinic
Impalila Clinic,10108,,,,,1091,-17.7661,25.177399,10598,Katima Mulilo District,Facility,Public_MoHSS,"2,4,6,7,8,9,11,13,14,16,17","Beds,Mortuary,Running Water,Health Extension Workers,Back Up Generator,Toilets,Phone Number,Computers,Vehicles,Enrolled Nurses,Registered Nurses","1,3,8,31,32,36,38,39,41,52,53","HIV Testing Services,Expanded Programme on Immunizations,Preventing Mother To Child Transmission Services,Viral Load Testing,Sexual Transmitted Infections,Anti Retroviral Therapy IMAI Site,Ante Natal Clinic Services,Family Planning Services,Tuberculosis Services,Option B+,DNA EID Testing",Clinic
Ibbu Clinic,10107,,,,,1863,-17.9624,24.52134,10598,Katima Mulilo District,Facility,Public_MoHSS,"5,6,7,9,11,16","Electricity,Running Water,Health Extension Workers,Toilets,Phone Number,Enrolled Nurses","1,2,3,8,31,32,36,38,39,40,41,52,53","HIV Testing Services,General Clinical Service,Expanded Programme on Immunizations,Preventing Mother To Child Transmission Services,Viral Load Testing,Sexual Transmitted Infections,Anti Retroviral Therapy IMAI Site,Ante Natal Clinic Services,Family Planning Services,Anti Retroviral Therapy Outreach Site,Tuberculosis Services,Option B+,DNA EID Testing",Clinic
Good Health Medical Health Centre,10106,,,,,,-17.5001,24.277053,10598,Katima Mulilo District,Facility,Private,,,,,Health Centre
Choi Clinic,10105,,,,,3433,-17.856,23.36376,10598,Katima Mulilo District,Facility,Public_MoHSS,"5,6,7,9,11,13,14,16,17,20","Electricity,Running Water,Health Extension Workers,Toilets,Phone Number,Computers,Vehicles,Enrolled Nurses,Registered Nurses,Administrative Officers","1,2,3,8,31,32,38,39,40,41,52,53","HIV Testing Services,General Clinical Service,Expanded Programme on Immunizations,Preventing Mother To Child Transmission Services,Viral Load Testing,Sexual Transmitted Infections,Ante Natal Clinic Services,Family Planning Services,Anti Retroviral Therapy Outreach Site,Tuberculosis Services,Option B+,DNA EID Testing",Clinic
Chinchimani Clinic,10104,,,,,1229,-17.9859,24.11845,10598,Katima Mulilo District,Facility,Public_MoHSS,"5,6,7,9,11,13,14,16,17","Electricity,Running Water,Health Extension Workers,Toilets,Phone Number,Computers,Vehicles,Enrolled Nurses,Registered Nurses","1,2,3,8,31,32,38,39,41,52,53","HIV Testing Services,General Clinical Service,Expanded Programme on Immunizations,Preventing Mother To Child Transmission Services,Viral Load Testing,Sexual Transmitted Infections,Ante Natal Clinic Services,Family Planning Services,Tuberculosis Services,Option B+,DNA EID Testing",Clinic
Chetto Clinic,10103,,,811562644,,1952,-17.9531,22.55869,10598,Katima Mulilo District,Facility,Public_MoHSS,"6,7,11,14,16,17","Running Water,Health Extension Workers,Phone Number,Vehicles,Enrolled Nurses,Registered Nurses","1,2,3,8,31,32,36,38,39,41,52,53","HIV Testing Services,General Clinical Service,Expanded Programme on Immunizations,Preventing Mother To Child Transmission Services,Viral Load Testing,Sexual Transmitted Infections,Anti Retroviral Therapy IMAI Site,Ante Natal Clinic Services,Family Planning Services,Tuberculosis Services,Option B+,DNA EID Testing",Clinic
Bukalo Health Centre,10102,,,811566784,,3577,-17.7123,24.52907,10598,Katima Mulilo District,Facility,Public_MoHSS,"1,2,5,6,7,9,13,14,16,17,19,20","Ambulances,Beds,Electricity,Running Water,Health Extension Workers,Toilets,Computers,Vehicles,Enrolled Nurses,Registered Nurses,Doctors,Administrative Officers","1,2,3,8,31,32,36,38,39,40,41,52,53","HIV Testing Services,General Clinical Service,Expanded Programme on Immunizations,Preventing Mother To Child Transmission Services,Viral Load Testing,Sexual Transmitted Infections,Anti Retroviral Therapy IMAI Site,Ante Natal Clinic Services,Family Planning Services,Anti Retroviral Therapy Outreach Site,Tuberculosis Services,Option B+,DNA EID Testing",Health Centre
Batubaja Clinic,10101,,,811620472,,1625,-18.2056,23.87565,10598,Katima Mulilo District,Facility,Public_MoHSS,"5,16,7,11,6","Electricity,Enrolled Nurses,Health Extension Workers,Phone Number,Running Water","3,1,2,8,31,32,36,38,39,41,52,53","Expanded Programme on Immunizations,HIV Testing Services,General Clinical Service,Preventing Mother To Child Transmission Services,Viral Load Testing,Sexual Transmitted Infections,Anti Retroviral Therapy IMAI Site,Ante Natal Clinic Services,Family Planning Services,Tuberculosis Services,Option B+,DNA EID Testing",Clinic
Otjozondjupa Regional Health Office,11980,,,,,,-20.462,16.655872,10615,Otjiwarongo District,Facility,Public_MoHSS,,,,,Regional Health Office
Otjiwarongo Medi-Clinic,10544,,,,,,-20.4691,16.651229,10615,Otjiwarongo District,Facility,Private,,,"8,40","Preventing Mother To Child Transmission Services,Anti Retroviral Therapy Outreach Site",Clinic
Otjiwarongo District Hospital,10543,,,67300900,,,-20.462,16.655872,10615,Otjiwarongo District,Facility,Public_MoHSS,"2,4,5,6,7,8,9,10,11,14,16,17,19,20","Beds,Mortuary,Electricity,Running Water,Health Extension Workers,Back Up Generator,Toilets,Internet,Phone Number,Vehicles,Enrolled Nurses,Registered Nurses,Doctors,Administrative Officers","4,1,2,3,8,31,32,33,35,36,39,41,46,47,48,52,53","Anti Retroviral Therapy Main Site,HIV Testing Services,General Clinical Service,Expanded Programme on Immunizations,Preventing Mother To Child Transmission Services,Viral Load Testing,Sexual Transmitted Infections,General Dentistry,Orthopedics,Anti Retroviral Therapy IMAI Site,Family Planning Services,Tuberculosis Services,Radiology,Specialized Dentistry,Physiotherapy,Option B+,DNA EID Testing",Hospital
Otjiwarongo District Health Office,12020,,,,,,-20.462,16.655872,10615,Otjiwarongo District,Facility,Public_MoHSS,,,,,District Health Office
Otavi Health Centre,10541,,,67234194,,,-19.6356,17.33818,10615,Otjiwarongo District,Facility,Public_MoHSS,"2,4,5,6,7,8,9,11,13,14,16,17,19","Beds,Mortuary,Electricity,Running Water,Health Extension Workers,Back Up Generator,Toilets,Phone Number,Computers,Vehicles,Enrolled Nurses,Registered Nurses,Doctors","1,2,3,8,32,33,36,38,39,41,52,53","HIV Testing Services,General Clinical Service,Expanded Programme on Immunizations,Preventing Mother To Child Transmission Services,Sexual Transmitted Infections,General Dentistry,Anti Retroviral Therapy IMAI Site,Ante Natal Clinic Services,Family Planning Services,Tuberculosis Services,Option B+,DNA EID Testing",Health Centre
Osire Health Centre,10540,,,,,,-21.0787,17.369315,10615,Otjiwarongo District,Facility,Public_MoHSS,"2,4,5,6,7,8,9,10,13,16,17,19","Beds,Mortuary,Electricity,Running Water,Health Extension Workers,Back Up Generator,Toilets,Internet,Computers,Enrolled Nurses,Registered Nurses,Doctors","1,2,3,8,32,33,36,38,39,41,52,53","HIV Testing Services,General Clinical Service,Expanded Programme on Immunizations,Preventing Mother To Child Transmission Services,Sexual Transmitted Infections,General Dentistry,Anti Retroviral Therapy IMAI Site,Ante Natal Clinic Services,Family Planning Services,Tuberculosis Services,Option B+,DNA EID Testing",Health Centre
Orwetoveni Clinic,10539,,,,,,-20.4635,16.667792,10615,Otjiwarongo District,Facility,Public_MoHSS,"5,6,7,9,10,13,14,16,17","Electricity,Running Water,Health Extension Workers,Toilets,Internet,Computers,Vehicles,Enrolled Nurses,Registered Nurses","1,2,3,8,32,33,36,38,39,41,52,53","HIV Testing Services,General Clinical Service,Expanded Programme on Immunizations,Preventing Mother To Child Transmission Services,Sexual Transmitted Infections,General Dentistry,Anti Retroviral Therapy IMAI Site,Ante Natal Clinic Services,Family Planning Services,Tuberculosis Services,Option B+,DNA EID Testing",Clinic
Okorusu Clinic,10537,,,,,,-20.0577,16.750157,10615,Otjiwarongo District,Facility,Private,,,,,Clinic
Ohorongo Cement Clinic,10529,,,672357081,,,-19.5237,17.451506,10615,Otjiwarongo District,Facility,Private,"2,5,6,9,10,11,13","Beds,Electricity,Running Water,Toilets,Internet,Phone Number,Computers","2,3","General Clinical Service,Expanded Programme on Immunizations",Clinic
Kalkfeld Clinic,10524,,,67290044,,,-20.89,16.191418,10615,Otjiwarongo District,Facility,Public_MoHSS,"5,6,7,9,11,13,16,17","Electricity,Running Water,Health Extension Workers,Toilets,Phone Number,Computers,Enrolled Nurses,Registered Nurses","1,2,3,8,32,33,36,38,39,41,52,53","HIV Testing Services,General Clinical Service,Expanded Programme on Immunizations,Preventing Mother To Child Transmission Services,Sexual Transmitted Infections,General Dentistry,Anti Retroviral Therapy IMAI Site,Ante Natal Clinic Services,Family Planning Services,Tuberculosis Services,Option B+,DNA EID Testing",Clinic
Etunda Clinic,12245,,,,,,,,10615,Otjiwarongo District,Facility,Public_MoHSS,,,"1,2,3,8,31,32,38,39,41,52","HIV Testing Services,General Clinical Service,Expanded Programme on Immunizations,Preventing Mother To Child Transmission Services,Viral Load Testing,Sexual Transmitted Infections,Ante Natal Clinic Services,Family Planning Services,Tuberculosis Services,Option B+",Clinic
Daktari Rehab Centre,10519,,,,,,-20.765,15.851196,10615,Otjiwarongo District,Facility,Private,,,"2,41","General Clinical Service,Tuberculosis Services",Rehab Centre
Badenhorst Clinic,10517,,,,,,-20.4697,16.65037,10615,Otjiwarongo District,Facility,Private,,,,,Clinic
Uitkoms Clinic,10188,,,,,,-21.0862,18,10607,Okakarara District,Facility,Public_MoHSS,,,"1,3,8,32,36,38,39,40,41","HIV Testing Services,Expanded Programme on Immunizations,Preventing Mother To Child Transmission Services,Sexual Transmitted Infections,Anti Retroviral Therapy IMAI Site,Ante Natal Clinic Services,Family Planning Services,Anti Retroviral Therapy Outreach Site,Tuberculosis Services",Clinic
Okondjatu Clinic,10536,,,62519091,,,-20.9878,18.231267,10607,Okakarara District,Facility,Public_MoHSS,11,Phone Number,"1,3,8,32,36,38,39,41","HIV Testing Services,Expanded Programme on Immunizations,Preventing Mother To Child Transmission Services,Sexual Transmitted Infections,Anti Retroviral Therapy IMAI Site,Ante Natal Clinic Services,Family Planning Services,Tuberculosis Services",Clinic
Okarondu Clinic,10535,,,,,,-20.4526,17.777448,10607,Okakarara District,Facility,Public_MoHSS,,,"1,3,32,38,39,41","HIV Testing Services,Expanded Programme on Immunizations,Sexual Transmitted Infections,Ante Natal Clinic Services,Family Planning Services,Tuberculosis Services",Clinic
Okamatapati Clinic,10534,,,,,,-20.4055,18.215185,10607,Okakarara District,Facility,Public_MoHSS,"5,7,6,9","Electricity,Health Extension Workers,Running Water,Toilets","1,3,8,32,33,36,38,39,41,52,53","HIV Testing Services,Expanded Programme on Immunizations,Preventing Mother To Child Transmission Services,Sexual Transmitted Infections,General Dentistry,Anti Retroviral Therapy IMAI Site,Ante Natal Clinic Services,Family Planning Services,Tuberculosis Services,Option B+,DNA EID Testing",Clinic
Okakarara Private Clinic,10533,,,67317453,,,-20.5866,17.450576,10607,Okakarara District,Facility,Private,"5,6,9,10,11,12,13,14,19,20","Electricity,Running Water,Toilets,Internet,Phone Number,Fax Number,Computers,Vehicles,Doctors,Administrative Officers","1,2,3,8,32,36,38,39","HIV Testing Services,General Clinical Service,Expanded Programme on Immunizations,Preventing Mother To Child Transmission Services,Sexual Transmitted Infections,Anti Retroviral Therapy IMAI Site,Ante Natal Clinic Services,Family Planning Services",Clinic
Okakarara District Hospital,10532,,,67317028,,,-20.5893,17.451315,10607,Okakarara District,Facility,Public_MoHSS,11,Phone Number,"4,1,3,8,32,39,41","Anti Retroviral Therapy Main Site,HIV Testing Services,Expanded Programme on Immunizations,Preventing Mother To Child Transmission Services,Sexual Transmitted Infections,Family Planning Services,Tuberculosis Services",Hospital
Okakarara District Health Office,12012,,,,,,-20.5893,17.451315,10607,Okakarara District,Facility,Public_MoHSS,,,,,District Health Office
Okakarara Clinic,10531,,,,,,-20.589,17.451226,10607,Okakarara District,Facility,Public_MoHSS,,,"1,3,8,32,38,39,41","HIV Testing Services,Expanded Programme on Immunizations,Preventing Mother To Child Transmission Services,Sexual Transmitted Infections,Ante Natal Clinic Services,Family Planning Services,Tuberculosis Services",Clinic
Coblenz Clinic,10518,,,,,,-20.1113,18.18559,10607,Okakarara District,Facility,Public_MoHSS,,,"1,2,3,4,8,32,33,36,38,39,52,53","HIV Testing Services,General Clinical Service,Expanded Programme on Immunizations,Anti Retroviral Therapy Main Site,Preventing Mother To Child Transmission Services,Sexual Transmitted Infections,General Dentistry,Anti Retroviral Therapy IMAI Site,Ante Natal Clinic Services,Family Planning Services,Option B+,DNA EID Testing",Clinic
Ovitoto Clinic,10545,,,62503030,,,-21.9767,17.208691,10605,Okahandja District,Facility,Public_MoHSS,11,Phone Number,"1,3,8,32,36,38,39","HIV Testing Services,Expanded Programme on Immunizations,Preventing Mother To Child Transmission Services,Sexual Transmitted Infections,Anti Retroviral Therapy IMAI Site,Ante Natal Clinic Services,Family Planning Services",Clinic
Otjozondu Clinic,10563,,,,,,-21.9361,17.25277,10605,Okahandja District,Facility,Public_MoHSS,,,"1,3,8,32,36,38,39,41","HIV Testing Services,Expanded Programme on Immunizations,Preventing Mother To Child Transmission Services,Sexual Transmitted Infections,Anti Retroviral Therapy IMAI Site,Ante Natal Clinic Services,Family Planning Services,Tuberculosis Services",Clinic
